Family	Genus	Scientific name	Adult survival	Age at first breeding	Maximum longevity	Z	GenFLS	GenFL	GenFS	GenLength	Priority for research
Struthionidae	Struthio	Struthio camelus	0,868427647	3,646049669	50	0,235975137	10,18432187	14,58442945	10,24643058	14,58442945	Low
Struthionidae	Struthio	Struthio molybdophanes	0,868427647	3,5	50	0,235975137	10,0382722	14,47284387	10,10038091	14,47284387	Low
Rheidae	Rhea	Rhea americana	0,308668286	2,068374004	50	0,193790565	2,514857624	11,35707089	2,514857624	11,35707089	Low
Rheidae	Rhea	Rhea pennata	0,326367207	3	29,50798368	0,235975137	3,4844883	9,25522508	3,4844883	9,25522508	Low
Rheidae	Rhea	Rhea tarapacensis	0,326367207	2,5	50	0,235975137	2,9844883	13,70881901	2,9844883	13,70881901	Low
Tinamidae	Nothocercus	Nothocercus julius	0,838904204	2,116066953	16,34917762	0,193790565	6,16450584	4,874309511	7,323553584	6,16450584	Low
Tinamidae	Nothocercus	Nothocercus bonapartei	0,744175911	1,857065594	14,84544285	0,193790565	4,538711435	4,374090561	4,766001629	4,538711435	Low
Tinamidae	Nothocercus	Nothocercus nigrocapillus	0,758453468	1,888184015	16,83490155	0,193790565	4,833985142	4,784716851	5,028173075	4,833985142	Low
Tinamidae	Tinamus	Tinamus tao	0,79654557	2,233546947	18,16150727	0,193790565	5,78539734	5,320235377	6,148652507	5,78539734	Low
Tinamidae	Tinamus	Tinamus solitarius	0,62381028	1,532464924	15	0,193790565	3,171755033	4,142346156	3,190698115	4,142346156	Low
Tinamidae	Tinamus	Tinamus osgoodi	0,874461001	2,805074826	21,11064532	0,235975137	8,159437279	7,124734331	9,770726998	8,159437279	Low
Tinamidae	Tinamus	Tinamus major	0,805856763	2,211198113	17,07751515	0,193790565	5,839391169	5,092150091	6,362034245	5,839391169	Low
Tinamidae	Tinamus	Tinamus guttatus	0,709420525	1,942761613	16,08901513	0,193790565	4,296627367	4,684172075	4,384160907	4,684172075	Low
Tinamidae	Crypturellus	Crypturellus berlepschi	0,826197831	2,010196321	15,66964196	0,193790565	5,856328867	4,657268009	6,763864447	5,856328867	Low
Tinamidae	Crypturellus	Crypturellus cinereus	0,809279655	2,399819702	17,81259548	0,193790565	6,164260205	5,386670228	6,643098808	6,164260205	Low
Tinamidae	Crypturellus	Crypturellus ptaritepui	0,814904938	1,92380231	15,10223528	0,193790565	5,480975945	4,477658281	6,326431582	5,480975945	Low
Tinamidae	Crypturellus	Crypturellus soui	0,794792775	1,899519281	13,95755572	0,193790565	5,081209652	4,236252975	5,772642048	5,081209652	Low
Tinamidae	Crypturellus	Crypturellus obsoletus	0,76671403	1,874309998	15,19449899	0,193790565	4,812828802	4,455636949	5,160894399	4,812828802	Low
Tinamidae	Crypturellus	Crypturellus undulatus	0,735025566	2,019948816	16,21830113	0,193790565	4,644295641	4,771455533	4,793897815	4,771455533	Low
Tinamidae	Crypturellus	Crypturellus strigulosus	0,781206236	1,93707895	14,97060929	0,193790565	5,051806531	4,462854159	5,507593126	5,051806531	Low
Tinamidae	Crypturellus	Crypturellus duidae	0,820572404	1,936678973	15,02185113	0,193790565	5,572588155	4,472461878	6,509957679	5,572588155	Low
Tinamidae	Crypturellus	Crypturellus erythropus	0,815757949	2,142693768	15,92709911	0,193790565	5,828200564	4,813981467	6,570336342	5,828200564	Low
Tinamidae	Crypturellus	Crypturellus noctivagus	0,758551243	1,932858872	17,3741855	0,193790565	4,879930694	4,925242284	5,074524426	4,925242284	Low
Tinamidae	Crypturellus	Crypturellus atrocapillus	0,810503173	1,959757913	15,7334635	0,193790565	5,566383286	4,628972101	6,236891129	5,566383286	Low
Tinamidae	Crypturellus	Crypturellus occidentalis	0,809868545	2,909140695	25,30769231	0,235975137	6,987244285	8,194641981	7,168659695	8,194641981	Low
Tinamidae	Crypturellus	Crypturellus cinnamomeus	0,809868545	2,084764271	16,30921496	0,193790565	5,681953406	4,841328607	6,344283271	5,681953406	Low
Tinamidae	Crypturellus	Crypturellus transfasciatus	0,760595837	1,783384219	13,50365432	0,193790565	4,578910599	4,054661984	4,960421023	4,578910599	Low
Tinamidae	Crypturellus	Crypturellus boucardi	0,765831995	1,86778589	14,98941975	0,193790565	4,795858713	4,410634729	5,138224117	4,795858713	Low
Tinamidae	Crypturellus	Crypturellus kerriae	0,813664453	1,92380231	15,15369062	0,193790565	5,463903199	4,48762984	6,29046485	5,463903199	Low
Tinamidae	Crypturellus	Crypturellus variegatus	0,824320611	2,447681257	17,69804868	0,193790565	6,478159022	5,403058576	7,139868631	6,478159022	Low
Tinamidae	Crypturellus	Crypturellus brevirostris	0,818392447	1,92380231	14,95707967	0,193790565	5,529284556	4,449528493	6,430181221	5,529284556	Low
Tinamidae	Crypturellus	Crypturellus bartletti	0,790246003	1,735271846	13,71049261	0,193790565	4,863465496	4,055956644	5,50276145	4,863465496	Low
Tinamidae	Crypturellus	Crypturellus casiquiare	0,818973581	1,92380231	14,93281925	0,193790565	5,537378548	4,444827053	6,44785789	5,537378548	Low
Tinamidae	Crypturellus	Crypturellus parvirostris	0,682413307	1,515542826	13,67202724	0,193790565	3,5731735	3,871354809	3,664289364	3,871354809	Low
Tinamidae	Crypturellus	Crypturellus tataupa	0,729748229	1,630869437	13,26209369	0,193790565	4,051045551	3,884890957	4,331122709	4,051045551	Low
Tinamidae	Rhynchotus	Rhynchotus rufescens	0,837782645	2,389456129	18,80449497	0,193790565	6,777827378	5,57053578	7,554024649	6,777827378	Low
Tinamidae	Rhynchotus	Rhynchotus maculicollis	0,830349837	2,20925119	17,94423138	0,193790565	6,350887059	5,258541891	7,10373418	6,350887059	Low
Tinamidae	Nothoprocta	Nothoprocta taczanowskii	0,813400576	1,97800436	15,83801369	0,193790565	5,627958979	4,663943399	6,337077708	5,627958979	Low
Tinamidae	Nothoprocta	Nothoprocta ornata	0,671866561	1,623395284	15,62278604	0,193790565	3,632347935	4,336345128	3,670935952	4,336345128	Low
Tinamidae	Nothoprocta	Nothoprocta perdicaria	0,697362409	1,615659618	14,68536167	0,193790565	3,829295439	4,148444563	3,919941802	4,148444563	Low
Tinamidae	Nothoprocta	Nothoprocta cinerascens	0,571763237	1,34049422	11,48567774	0,142143345	2,65211685	2,782564541	2,675651045	2,782564541	Low
Tinamidae	Nothoprocta	Nothoprocta pentlandii	0,626137238	1,408095456	13,77308158	0,142143345	3,062915603	3,165695945	3,082873748	3,165695945	Low
Tinamidae	Nothoprocta	Nothoprocta curvirostris	0,812473102	1,890624381	14,79502842	0,193790565	5,414383638	4,391376131	6,223192725	5,414383638	Low
Tinamidae	Nothura	Nothura boraquira	0,760595837	1,783384219	7,248541944	0,193790565	3,519869514	2,842480222	4,960421023	3,519869514	Low
Tinamidae	Nothura	Nothura minor	0,760544201	1,6145639	6,213586649	0,193790565	3,084137081	2,505811117	4,790699973	3,084137081	Low
Tinamidae	Nothura	Nothura darwinii	0,717746446	1,603732461	7,173798687	0,193790565	3,196424474	2,683158742	4,14664622	3,196424474	Low
Tinamidae	Nothura	Nothura maculosa	0,720634361	1,620051945	7,101409163	0,193790565	3,222422907	2,682287257	4,199590229	3,222422907	Low
Tinamidae	Nothura	Nothura chacoensis	0,772543444	1,714025112	6,635331701	0,193790565	3,490576006	2,667727896	5,110469064	3,490576006	Low
Tinamidae	Taoniscus	Taoniscus nanus	0,692914436	1,329495811	10,50565041	0,142143345	3,387939955	2,63382512	3,585917204	3,387939955	Low
Tinamidae	Eudromia	Eudromia elegans	0,717871405	1,79842418	18,13656227	0,193790565	4,281982126	4,964601192	4,342907149	4,964601192	Low
Tinamidae	Eudromia	Eudromia formosa	0,758335911	1,991698498	18,30509212	0,193790565	4,974057795	5,153080265	5,129673669	5,153080265	Low
Tinamidae	Tinamotis	Tinamotis pentlandii	0,713441908	1,770919557	16,64101344	0,193790565	4,188199964	4,652603452	4,260613367	4,652603452	Low
Tinamidae	Tinamotis	Tinamotis ingoufi	0,46311061	1,138516722	13,79858114	0,142143345	2,000805536	2,938060626	2,001097765	2,938060626	Low
Casuariidae	Casuarius	Casuarius casuarius	0,91078162	4,002902154	32,37545411	0,235975137	12,14449609	10,69811899	14,21135494	12,14449609	Low
Casuariidae	Casuarius	Casuarius bennetti	0,905471131	3,826471743	30,7518452	0,235975137	11,55406202	10,18019043	13,40525059	11,55406202	Low
Casuariidae	Casuarius	Casuarius unappendiculatus	0,934550407	3,846149091	29,46275769	0,235975137	12,72197507	9,891031815	18,12508291	12,72197507	Low
Casuariidae	Dromaius	Dromaius novaehollandiae	0,815734108	2,254438809	30	0,193790565	6,602221675	7,631266788	6,681379135	7,631266788	Medium
Casuariidae	Dromaius	Dromaius minor	0,815734108	2	30	0,193790565	6,347782866	7,42613582	6,426940326	7,42613582	Medium
Casuariidae	Dromaius	Dromaius baudinianus	0,815734108	2	30	0,193790565	6,347782866	7,42613582	6,426940326	7,42613582	Medium
Apterygidae	Apteryx	Apteryx haastii	0,901346428	2,440124311	24,23277689	0,193790565	9,253745993	6,663334767	11,57660472	9,253745993	Low
Apterygidae	Apteryx	Apteryx owenii	0,879185215	2,5	27	0,235975137	8,82956697	8,281390857	9,777132637	8,82956697	Low
Apterygidae	Apteryx	Apteryx mantelli	0,887798129	2,320231671	23,27391744	0,193790565	8,50203165	6,380858275	10,23273902	8,50203165	Low
Apterygidae	Apteryx	Apteryx australis	0,887798129	2,320231671	35	0,193790565	9,627643814	8,65326244	10,23273902	9,627643814	Low
Apterygidae	Apteryx	Apteryx rowi	0,887798129	4,000547645	24,25	0,235975137	10,03354116	8,778914939	11,913055	10,03354116	Low
Megapodiidae	Alectura	Alectura lathami	0,521087433	2	25	0,193790565	3,088059956	6,457182995	3,088063811	6,457182995	Low
Megapodiidae	Aepypodius	Aepypodius arfakianus	0,47487037	0,714039739	8,023224274	0,142143345	1,597591147	1,752991678	1,618331447	1,752991678	Very High
Megapodiidae	Aepypodius	Aepypodius bruijnii	0,787579526	1,660878916	12,88782813	0,193790565	4,643783593	3,836555747	5,368523058	4,643783593	High
Megapodiidae	Talegalla	Talegalla cuvieri	0,871521562	2,622973364	18,36456437	0,235975137	7,413140777	6,337597458	9,406380569	7,413140777	Low
Megapodiidae	Talegalla	Talegalla fuscirostris	0,858827598	2,472731793	17,51994032	0,193790565	7,173282807	5,388738835	8,556269268	7,173282807	Low
Megapodiidae	Talegalla	Talegalla jobiensis	0,864535953	2,529528087	17,79626539	0,235975137	7,185125117	6,132098514	8,911560605	7,185125117	Low
Megapodiidae	Leipoa	Leipoa ocellata	0,815427991	3,5	28,5	0,235975137	7,76474854	9,399378425	7,917939618	9,399378425	Low
Megapodiidae	Macrocephalon	Macrocephalon maleo	0,888299086	2,698595243	30	0,235975137	9,597014666	9,141047971	10,65107347	9,597014666	Low
Megapodiidae	Eulipoa	Eulipoa wallacei	0,875962675	2,261170332	16,22954711	0,193790565	6,938448549	4,96810996	9,323259707	6,938448549	Low
Megapodiidae	Megapodius	Megapodius nicobariensis	0,842879319	2,26651197	9,263610436	0,193790565	4,896317727	3,622483635	7,631046503	4,896317727	Medium
Megapodiidae	Megapodius	Megapodius cumingii	0,89236707	2,600997842	10,87026441	0,235975137	5,854940226	4,552339153	10,89183476	5,854940226	Low
Megapodiidae	Megapodius	Megapodius bernsteinii	0,874688668	2,792016582	17,46842576	0,235975137	7,446814413	6,255284248	9,772140838	7,446814413	Low
Megapodiidae	Megapodius	Megapodius tenimberensis	0,78279225	2,040258653	10,32137194	0,193790565	4,527674224	3,645060276	5,644145945	4,527674224	High
Megapodiidae	Megapodius	Megapodius layardi	0,832644127	2,229710094	9,315958371	0,193790565	4,801423619	3,602958151	7,205000845	4,801423619	Medium
Megapodiidae	Megapodius	Megapodius laperouse	0,853212376	2,055618297	8,717339196	0,193790565	4,744110458	3,346596954	7,868181732	4,744110458	High
Megapodiidae	Megapodius	Megapodius pritchardii	0,830980918	2,038716796	9,100981171	0,193790565	4,600997275	3,407316999	6,955208521	4,600997275	High
Megapodiidae	Megapodius	Megapodius freycinet	0,811226287	2,067498961	8,679064282	0,193790565	4,517987168	3,34875794	6,364846691	4,517987168	High
Megapodiidae	Megapodius	Megapodius geelvinkianus	0,83854788	2,1540026	8,670191587	0,193790565	4,759216809	3,416778545	7,34778934	4,759216809	Medium
Megapodiidae	Megapodius	Megapodius decollatus	0,810203901	2,082083173	8,799263931	0,193790565	4,526801705	3,383809427	6,350895363	4,526801705	High
Megapodiidae	Megapodius	Megapodius eremita	0,879800173	2,328348953	10,74539885	0,193790565	5,799921462	3,959493808	9,647828481	5,799921462	Low
Megapodiidae	Megapodius	Megapodius reinwardt	0,730097112	1,878047675	17,04428848	0,193790565	4,478117679	4,81712205	4,583083984	4,81712205	Medium
Cracidae	Chamaepetes	Chamaepetes unicolor	0,829022995	2,706230131	20,71673002	0,235975137	7,000325117	6,95626031	7,554969849	7,000325117	Low
Cracidae	Chamaepetes	Chamaepetes goudotii	0,822869258	2,392385357	18,25177157	0,193790565	6,396489336	5,465784772	7,037932757	6,396489336	Low
Cracidae	Penelopina	Penelopina nigra	0,832309965	2,681498955	20,74824458	0,235975137	7,045563915	6,944801729	7,644882528	7,045563915	Low
Cracidae	Penelope	Penelope argyrotis	0,821664472	2,121040272	18,89247757	0,193790565	6,188169748	5,371186582	6,7284479	6,188169748	Low
Cracidae	Penelope	Penelope barbata	0,839221612	2,28225271	20,11719392	0,193790565	6,796920303	5,738496044	7,501994134	6,796920303	Low
Cracidae	Penelope	Penelope ortoni	0,841403838	2,28225271	19,98199301	0,193790565	6,845446769	5,712295383	7,587575534	6,845446769	Low
Cracidae	Penelope	Penelope montagnii	0,823123685	2,199601673	18,95226644	0,193790565	6,294913772	5,446110043	6,853269887	6,294913772	Low
Cracidae	Penelope	Penelope marail	0,81873785	2,20974687	19,21638374	0,193790565	6,220894257	5,505472638	6,726618429	6,220894257	Low
Cracidae	Penelope	Penelope superciliaris	0,80558911	2,133063548	19,58161335	0,193790565	5,959036654	5,514427873	6,276808325	5,959036654	Low
Cracidae	Penelope	Penelope dabbenei	0,81906988	2,270929632	21,41551736	0,193790565	6,421616334	5,980970105	6,797925358	6,421616334	Low
Cracidae	Penelope	Penelope jacquacu	0,851328956	2,547527858	21,99488123	0,235975137	7,440677483	7,136619734	8,273787209	7,440677483	Low
Cracidae	Penelope	Penelope purpurascens	0,851264336	2,612971647	23,5698815	0,235975137	7,680779767	7,558281321	8,336308694	7,680779767	Low
Cracidae	Penelope	Penelope perspicax	0,842967963	2,433662674	20,98794739	0,193790565	7,122982059	6,029307992	7,801789963	7,122982059	Low
Cracidae	Penelope	Penelope albipennis	0,866819672	2,210203908	19,86760042	0,193790565	7,372553489	5,632040754	8,718820346	7,372553489	Low
Cracidae	Penelope	Penelope obscura	0,845840146	2,536034371	24,15045209	0,235975137	7,455495061	7,636499553	8,02280751	7,636499553	Low
Cracidae	Penelope	Penelope pileata	0,805882755	2,191559989	19,7027722	0,193790565	6,023068929	5,585067697	6,34308581	6,023068929	Low
Cracidae	Penelope	Penelope ochrogaster	0,842967963	2,433662674	21,79128277	0,193790565	7,204151234	6,184986809	7,801789963	7,204151234	Low
Cracidae	Penelope	Penelope jacucaca	0,838812044	2,319149654	20,65403027	0,193790565	6,91012512	5,872276528	7,523087124	6,91012512	Low
Cracidae	Pipile	Pipile pipile	0,858220962	3,086136283	23,41524692	0,235975137	8,256941984	7,883300951	9,139365125	8,256941984	Low
Cracidae	Pipile	Pipile cumanensis	0,819377574	2,648891317	19,81454783	0,235975137	6,672213995	6,699559464	7,185302394	6,699559464	Low
Cracidae	Pipile	Pipile grayi	0,47487037	1,359616293	13,22267054	0,142143345	2,263096206	3,045870506	2,263908001	3,045870506	High
Cracidae	Pipile	Pipile cujubi	0,83682283	2,632800111	20,34843317	0,235975137	7,001431855	6,813249049	7,761108379	7,001431855	Low
Cracidae	Pipile	Pipile jacutinga	0,832513926	2,754228156	22,36291226	0,235975137	7,199930873	7,381390074	7,724873811	7,381390074	Low
Cracidae	Aburria	Aburria aburri	0,847575988	2,715930502	20,65698459	0,235975137	7,418901822	6,949573198	8,276576603	7,418901822	Low
Cracidae	Oreophasis	Oreophasis derbianus	0,888334997	3,081736134	23,10023729	0,235975137	9,131387472	7,805604687	11,03709344	9,131387472	Low
Cracidae	Ortalis	Ortalis vetula	0,7614314	2	13,51497129	0,193790565	4,804508169	4,231492792	5,191666464	4,804508169	Low
Cracidae	Ortalis	Ortalis cinereiceps	0,754693438	1,631047833	12,75676419	0,193790565	4,283435595	3,787106692	4,70757963	4,283435595	Low
Cracidae	Ortalis	Ortalis garrula	0,75859357	1,655692455	12,85723965	0,193790565	4,345856726	3,826446615	4,798084188	4,345856726	Low
Cracidae	Ortalis	Ortalis ruficauda	0,746677729	1,623563238	12,770538	0,193790565	4,199549429	3,783741775	4,571104037	4,199549429	Low
Cracidae	Ortalis	Ortalis erythroptera	0,806842229	1,666710241	12,22761921	0,193790565	4,698048191	3,713314757	5,843825274	4,698048191	Low
Cracidae	Ortalis	Ortalis wagleri	0,780753194	1,809002556	14,92090046	0,193790565	4,918091446	4,349964659	5,370072422	4,918091446	Low
Cracidae	Ortalis	Ortalis poliocephala	0,726968714	1,4065548	12,83972306	0,142143345	3,859929327	3,03170358	4,069138728	3,859929327	Low
Cracidae	Ortalis	Ortalis canicollis	0,784876479	1,553916602	12,54134133	0,193790565	4,508654166	3,683175848	5,202408758	4,508654166	Low
Cracidae	Ortalis	Ortalis leucogastra	0,771431681	1,697345975	13,26112739	0,193790565	4,514599182	3,938297709	5,072405495	4,514599182	Low
Cracidae	Ortalis	Ortalis columbiana	0,73	1,499885907	8,8	0,142143345	3,640601316	2,537548543	4,203589611	3,640601316	Low
Cracidae	Ortalis	Ortalis guttata	0,775761689	1,60469779	12,4682664	0,193790565	4,346695639	3,709954889	5,06423905	4,346695639	Low
Cracidae	Ortalis	Ortalis araucuan	0,73	1,499885907	8,8	0,142143345	3,640601316	2,537548543	4,203589611	3,640601316	Low
Cracidae	Ortalis	Ortalis squamata	0,73	1,499885907	8,8	0,142143345	3,640601316	2,537548543	4,203589611	3,640601316	Low
Cracidae	Ortalis	Ortalis motmot	0,757429293	1,64826854	12,44329635	0,193790565	4,227407822	3,740243078	4,770777858	4,227407822	Low
Cracidae	Ortalis	Ortalis superciliaris	0,778917303	1,749760124	13,16326568	0,193790565	4,643017014	3,961589814	5,272954447	4,643017014	Low
Cracidae	Nothocrax	Nothocrax urumutum	0,85596059	3,046075063	22,43202201	0,235975137	8,055562763	7,62067655	8,988619468	8,055562763	Low
Cracidae	Crax	Crax rubra	0,883838385	2,442865618	25,46765901	0,193790565	8,744835209	6,904853338	10,05156136	8,744835209	Low
Cracidae	Crax	Crax alberti	0,865355477	2,122350159	22,85556875	0,193790565	7,596253107	6,140252304	8,549313972	7,596253107	Low
Cracidae	Crax	Crax daubentoni	0,868689649	2,21254198	22,67493379	0,193790565	7,786905014	6,17796045	8,828087841	7,786905014	Low
Cracidae	Crax	Crax alector	0,873030652	2,273847514	22,74544317	0,193790565	7,9814964	6,241049603	9,149764149	7,9814964	Low
Cracidae	Crax	Crax fasciolata	0,869930444	2,229717114	23,43758084	0,193790565	7,841890709	6,339601008	8,917911268	7,841890709	Low
Cracidae	Crax	Crax pinima	0,47487037	2,000273823	22	0,193790565	2,90456214	5,876032059	2,904565531	5,876032059	Low
Cracidae	Crax	Crax globulosa	0,893418819	2,152980601	21,33320125	0,193790565	8,189658677	5,869926397	10,53550002	8,189658677	Low
Cracidae	Crax	Crax blumenbachii	0,879005076	2,364168311	25,08832839	0,193790565	8,49102819	6,767896132	9,628977833	8,49102819	Low
Cracidae	Mitu	Mitu tomentosum	0,864396677	2,299839394	22,92313731	0,193790565	7,745162076	6,296439949	8,674289945	7,745162076	Low
Cracidae	Mitu	Mitu mitu	0,862345409	2,330897371	23	0,193790565	7,715539355	6,336374448	8,595457112	7,715539355	Low
Cracidae	Mitu	Mitu tuberosum	0,861390475	2,317697405	23,87778331	0,193790565	7,763783055	6,495838634	8,532208818	7,763783055	Low
Cracidae	Mitu	Mitu salvini	0,879100188	2,269503625	24,72905102	0,193790565	8,399765943	6,621952004	9,540815081	8,399765943	Low
Cracidae	Pauxi	Pauxi unicornis	0,901893121	3,542487265	29,48618976	0,235975137	10,83130442	9,664556016	12,73545243	10,83130442	Low
Cracidae	Pauxi	Pauxi koepckeae	0,47487037	1,359616293	13,22267054	0,142143345	2,263096206	3,045870506	2,263908001	3,045870506	Medium
Cracidae	Pauxi	Pauxi pauxi	0,879268341	3,162526704	26,16027151	0,235975137	9,298808633	8,589422685	10,4453583	9,298808633	Low
Numididae	Numida	Numida meleagris	0,614821092	1,138523325	10,93700327	0,142143345	2,682275619	2,53131204	2,73471948	2,682275619	Low
Numididae	Agelastes	Agelastes meleagrides	0,489220502	1,205006739	10,04537868	0,142143345	2,154939341	2,461606778	2,16279871	2,461606778	Low
Numididae	Agelastes	Agelastes niger	0,84156157	2,189896134	15,32769322	0,193790565	6,127486869	4,735877254	7,501496167	6,127486869	Low
Numididae	Acryllium	Acryllium vulturinum	0,392683255	1,055792944	11,50462482	0,142143345	1,702218856	2,541024858	1,702380179	2,541024858	Low
Numididae	Guttera	Guttera plumifera	0,614403472	1,451949202	12,44186434	0,142143345	3,010509145	3,014092501	3,045333549	3,014092501	Low
Numididae	Guttera	Guttera verreauxi	0,47487037	1,359616293	13,22267054	0,142143345	2,263096206	3,045870506	2,263908001	3,045870506	Low
Numididae	Guttera	Guttera pucherani	0,810728834	2,260976293	17,19503752	0,193790565	5,966932988	5,155056456	6,544401239	5,966932988	Low
Numididae	Guttera	Guttera edouardi	0,47487037	1,359616293	13,22267054	0,142143345	2,263096206	3,045870506	2,263908001	3,045870506	Low
Odontophoridae	Ptilopachus	Ptilopachus petrosus	0,660463	1,449231668	13,08590576	0,142143345	3,334995815	3,103307448	3,39441879	3,334995815	Low
Odontophoridae	Ptilopachus	Ptilopachus nahani	0,726957991	1,719126886	14,61586377	0,193790565	4,21852974	4,218392813	4,381566976	4,21852974	Low
Odontophoridae	Philortyx	Philortyx fasciatus	0,614057206	1,289787467	12,18062985	0,142143345	2,846256103	2,837848233	2,880845042	2,846256103	Low
Odontophoridae	Oreortyx	Oreortyx pictus	0,443783541	1,017874468	11,99660862	0,142143345	1,815035423	2,578428464	1,815735685	2,578428464	Low
Odontophoridae	Colinus	Colinus virginianus	0,56	1,035018325	9,254334893	0,142143345	2,258734621	2,203339476	2,307745598	2,258734621	Low
Odontophoridae	Colinus	Colinus nigrogularis	0,61362223	1,031070885	8,93007681	0,142143345	2,506817732	2,153862009	2,619211502	2,506817732	Low
Odontophoridae	Colinus	Colinus leucopogon	0,621010831	1,029334557	8,791808875	0,142143345	2,542577191	2,132718622	2,66793239	2,542577191	Low
Odontophoridae	Colinus	Colinus cristatus	0,344961902	0,723446988	6,413837444	0,142143345	1,239948057	1,532298122	1,250075749	1,532298122	Medium
Odontophoridae	Callipepla	Callipepla squamata	0,350884914	1,025611263	8,956021549	0,142143345	1,565444423	2,152866308	1,566170128	2,152866308	Low
Odontophoridae	Callipepla	Callipepla douglasii	0,530609699	1,356423819	9,570509969	0,142143345	2,469124716	2,5240015	2,486847046	2,5240015	Low
Odontophoridae	Callipepla	Callipepla gambelii	0,4	1,00511408	8,891931043	0,142143345	1,669420832	2,126172625	1,671780747	2,126172625	Low
Odontophoridae	Callipepla	Callipepla californica	0,4	1	9,6	0,142143345	1,665617981	2,222432767	1,666666667	2,222432767	Low
Odontophoridae	Dendrortyx	Dendrortyx barbatus	0,796514209	2,014859278	16,08294466	0,193790565	5,418059096	4,741121493	5,929207327	5,418059096	Low
Odontophoridae	Dendrortyx	Dendrortyx macroura	0,744771177	1,834409777	16,63453403	0,193790565	4,607787024	4,702534218	4,752462559	4,702534218	Low
Odontophoridae	Dendrortyx	Dendrortyx leucophrys	0,718184555	1,710103079	15,47459728	0,193790565	4,121224383	4,377532187	4,258524636	4,377532187	Low
Odontophoridae	Odontophorus	Odontophorus gujanensis	0,765831437	1,820343793	13,854177	0,193790565	4,672530393	4,152387129	5,090771844	4,672530393	Low
Odontophoridae	Odontophorus	Odontophorus capueira	0,700688757	1,837955273	15,67428812	0,193790565	4,106337435	4,519306033	4,178959072	4,519306033	Low
Odontophoridae	Odontophorus	Odontophorus melanotis	0,769036425	1,843635656	14,46366642	0,193790565	4,730952693	4,289278548	5,173322707	4,730952693	Low
Odontophoridae	Odontophorus	Odontophorus erythrops	0,808350619	1,849009444	14,44882976	0,193790565	5,19397167	4,290735742	6,066871327	5,19397167	Low
Odontophoridae	Odontophorus	Odontophorus atrifrons	0,79749274	1,814720475	14,43709311	0,193790565	5,028481035	4,2608172	5,75281504	5,028481035	Low
Odontophoridae	Odontophorus	Odontophorus hyperythrus	0,808262751	1,853561064	14,50789761	0,193790565	5,320001465	4,305852093	6,069031742	5,320001465	Low
Odontophoridae	Odontophorus	Odontophorus melanonotus	0,809824133	1,834955771	14,22110629	0,193790565	5,197993586	4,235274878	6,093246509	5,197993586	Low
Odontophoridae	Odontophorus	Odontophorus speciosus	0,798276149	1,829428377	14,59105918	0,193790565	5,162661754	4,302512021	5,786700385	5,162661754	Low
Odontophoridae	Odontophorus	Odontophorus dialeucos	0,79312903	1,760842619	13,92641265	0,193790565	4,922883028	4,118415309	5,594773644	4,922883028	Low
Odontophoridae	Odontophorus	Odontophorus strophium	0,801391612	1,812412856	14,26384124	0,193790565	5,07287753	4,225382198	5,847446925	5,07287753	Low
Odontophoridae	Odontophorus	Odontophorus columbianus	0,699077164	1,583723998	12,94233661	0,193790565	3,741090174	3,784915954	3,906835043	3,784915954	Low
Odontophoridae	Odontophorus	Odontophorus leucolaemus	0,686412065	1,575555249	14,16899259	0,193790565	3,666092939	4,016044587	3,764453444	4,016044587	Low
Odontophoridae	Odontophorus	Odontophorus balliviani	0,79545886	1,829906488	14,70274935	0,193790565	5,126271251	4,324541979	5,718898502	5,126271251	Low
Odontophoridae	Odontophorus	Odontophorus stellatus	0,804078424	1,849870433	14,62423968	0,193790565	5,260023464	4,325422667	5,953953508	5,260023464	Low
Odontophoridae	Odontophorus	Odontophorus guttatus	0,719146798	1,663616089	15,02981974	0,193790565	4,084270854	4,253860246	4,224195042	4,253860246	Low
Odontophoridae	Rhynchortyx	Rhynchortyx cinctus	0,768720841	1,627269895	11,70129003	0,193790565	4,305994007	3,579519949	4,951049021	4,305994007	Low
Odontophoridae	Dactylortyx	Dactylortyx thoracicus	0,66322377	1,461944351	13,68013286	0,142143345	3,386528969	3,198678536	3,431275055	3,386528969	Low
Odontophoridae	Cyrtonyx	Cyrtonyx montezumae	0,441255263	1	9,344033828	0,142143345	1,784014834	2,186048879	1,78972603	2,186048879	Low
Odontophoridae	Cyrtonyx	Cyrtonyx sallei	0,47487037	1	13,22267054	0,142143345	1,903479913	2,737371275	1,904291708	2,737371275	Low
Odontophoridae	Cyrtonyx	Cyrtonyx ocellatus	0,773450143	1,127593994	13,48474466	0,142143345	4,063841315	2,884080724	4,541633417	4,063841315	Low
Phasianidae	Xenoperdix	Xenoperdix udzungwensis	0,789568801	1,759472788	12,57329968	0,193790565	4,763216802	3,855090411	5,511619831	4,763216802	Low
Phasianidae	Rollulus	Rollulus rouloul	0,691754271	1,506176262	11,76444801	0,193790565	3,556043757	3,49413254	3,750341244	3,556043757	Low
Phasianidae	Arborophila	Arborophila torqueola	0,732739788	1,755193279	13,1097606	0,193790565	4,202349198	3,955601295	4,496865085	4,202349198	Low
Phasianidae	Arborophila	Arborophila rufogularis	0,753914986	1,783370541	11,74578399	0,193790565	4,33200332	3,713992272	4,847006858	4,33200332	Low
